2017-03-25 15:06:20;234;+;234234;234468;;
2017-03-25 15:07:54;234;+;234234;234468;;
2017-03-25 15:08:30;234;+;234234;234468;;
2017-03-27 21:08:38;123452;+;2345;125797;;
2017-03-27 21:19:49;12334;+;2345;14679;;
2017-04-19 11:16:38;1;+;1;2;;
2017-04-19 11:17:12;123;+;123;246;;
2017-04-19 11:32:05;2;+;2;4;;
2017-04-19 12:10:28;1;+;1;2;;
2017-04-19 12:11:03;1;+;1;2;;
2017-04-19 12:43:04;0;+;2;0;;
2017-04-20 12:16:57;0;+;2;2;;
2017-04-20 12:35:44;1;+;1;2;;
2017-04-20 12:44:21;1;+;1;2;;
